target_name,matched_name,similarity_score,price,category
LIRENE- COFFRET AQUA BUBBLES Hydro-gel + Eau Micellaire Gratuite,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.8256880733944955,TND,Coffrets
LIRENE - MOUSSE LAVANTE TONIFIANTE C+E 150ml,LIRENE Mousse Nettoyante Tout Type De Peau 150ml,0.6388888888888888,TND,"Démaquillants, nettoyants visage"
LIRENE - C+ D Crème Peau Seche et sensible 50ML,LIRENE Creme Regenerante Aloe Vera 50ml,0.5230769230769231,TND,soins anti-âge et anti-rides
LIRENE- écran visage adulte spf50+50ml +2éme Gratuite,Lirene Écran Solaire Visage Invisible SPF50+ 40ml à la Vitamine E + 2ᵉ Offert,0.6415094339622641,TND,MaPara MaPromo
LIRENE - Vegan Créme Avocat + (Gel Nettoyant Argile Blanche 50%),LIRENE Gel Nettoyant Argile Blanche 150ml,0.7126436781609196,TND,Visage
LIRENE - Vegan Créme Aloé et Karité + (Gel Nettoyant Cassis -50%),LIRENE Gel Nettoyant Cassis 150ml,0.5974025974025974,TND,"Démaquillants, nettoyants visage"
LIRENE - MAKE ME FRESH GEL NETTOYANT 150ML,LIRENE Gel Nettoyant Cassis 150ml,0.6440677966101694,TND,"Démaquillants, nettoyants visage"
"LIRENE - Chaussettes Baby Soft 2,5% Urea",LIRENE Chaussettes Baby Soft 2.5% Urea,0.967741935483871,TND,Soins Spécifiques
COFFRET LIRENE - Mezo-Collagéne Créme de Nuit 40+( jour -50%),LIRENE Mezo Collagene Creme Nuit Premieres Rides 50ml,0.5894736842105263,TND,Premières Rides
LIRENE- AQUA BUBBLES Hydro-Créme 50ml,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.5647058823529412,TND,Coffrets
LIRENE - Vegan Créme Amande + (Gel Nettoyant Amande douce - 50%),LIRENE Creme Regenerante Aloe Vera 50ml,0.5060240963855421,TND,soins anti-âge et anti-rides
LIRENE - BB CREAM SPF 50+ 01 NATUREL 30 ML,Lirene BB Crème Hydratante SPF50 01 – Natural 30ml,0.7671232876712328,TND,BB crème
LIRENE - ACID POWER SÉRUM  EXFOLIANT 30ml,LIRENE Acid Power Serum Exfoliant A L’hydrolat De Pamplemousse 30ml,0.7209302325581395,TND,soins anti-taches et dépigmentants
LIRENE- AQUA BUBBLES Hydro-Gel 50ml,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.6265060240963856,TND,Coffrets
LIRENE - ECO BABY CREME HYDRATANT VISAGE 50ML,LIRENE Creme Hydratante à La Cerise 50ml,0.7619047619047619,TND,Soins hydratants et nourrissants
