web-scraper-order,web-scraper-start-url,pagination-selector,image-src,priceCurrency,data,data2,data3,category
1758458180-28,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-gel-nettoyant-argile-blanche-150ml-400x400.jpg,TND,19.200 TND,Lire la suite,LIRENE Gel Nettoyant Argile Blanche 150ml,Visage
1758458177-13,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Acid-Power-Filling-Anti-Age-Cream-50ml-maparatunisie-400x400.jpg,TND,38.700 TND,Ajouter au panier,LIRENE Acid Power Filling Anti Age Cream 50ml,soins anti-âge et anti-rides
1758458183-61,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-creme-regenerante-aloe-vera-400x400.jpg,TND,42.800 TND,Lire la suite,LIRENE Creme Regenerante Aloe Vera 50ml,soins anti-âge et anti-rides
1758458177-24,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/08/lirene-coffret-aqua-bubbles-hydro-gel-50ml-eau-micellaire-200ml-400x400.webp,TND,42.120 TND,Ajouter au panier,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,Coffrets
1758458183-61,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-creme-regenerante-aloe-vera-400x400.jpg,TND,42.800 TND,Lire la suite,LIRENE Creme Regenerante Aloe Vera 50ml,soins anti-âge et anti-rides
1758458177-15,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-serum-mains-au-cassis-25-75ml-400x400.jpg,TND,19.000 TND,Ajouter au panier,LIRENE  Creme-serum Mains Au Cassis 25% 75ml,Soins Spécifiques
1758458180-28,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-gel-nettoyant-argile-blanche-150ml-400x400.jpg,TND,19.200 TND,Lire la suite,LIRENE Gel Nettoyant Argile Blanche 150ml,Visage
1758458177-11,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-gel-lavant-amande-150ml-400x400.jpg,TND,15.600 TND,Ajouter au panier,LIRENE GEL LAVANT AMANDE 150ML,"Démaquillants, nettoyants visage"
1758458183-54,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-EAU-MICELLAIRE-MAGNOLIA-400ML-1-400x400.jpg,TND,19.660 TND,Lire la suite,LIRENE Eau Micellaire Magnolia 400ml,"Démaquillants, nettoyants visage"
1758458183-54,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-EAU-MICELLAIRE-MAGNOLIA-400ML-1-400x400.jpg,TND,19.660 TND,Lire la suite,LIRENE Eau Micellaire Magnolia 400ml,"Démaquillants, nettoyants visage"
1758458180-27,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-ce-vitamin-energy-eau-micellaire-3-en-1-400ml-400x400.webp,TND,29.560 TND,Lire la suite,LIRENE C+E Vitamin Energy Eau Micellaire 3 En 1 400ml,"Eau micellaire, tonique, lotion"
1758458183-54,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-EAU-MICELLAIRE-MAGNOLIA-400ML-1-400x400.jpg,TND,19.660 TND,Lire la suite,LIRENE Eau Micellaire Magnolia 400ml,"Démaquillants, nettoyants visage"
1758458177-19,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/01/lirene-acid-power-serum-lissant-a-l-hydrolat-de-rose-30ml-400x400.webp,TND,58.650 TND,Ajouter au panier,LIRENE Acid Power Serum Lissant A L’hydrolat De Rose 30ml,soins anti-âge et anti-rides
1758458177-9,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/07/liene-for-kids-400x400.jpg,TND,52.000 TND,Ajouter au panier,"Lirene Kids Lait de Protection SPF 50, 150ml",Crèmes Solaires Enfant
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
1758458177-19,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/01/lirene-acid-power-serum-lissant-a-l-hydrolat-de-rose-30ml-400x400.webp,TND,58.650 TND,Ajouter au panier,LIRENE Acid Power Serum Lissant A L’hydrolat De Rose 30ml,soins anti-âge et anti-rides
