web-scraper-order,web-scraper-start-url,pagination-selector,image-src,image2-src,priceCurrency,data,data2,data3,category
1758459780-23,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2022/07/dermedic-oilage-creme-de-jour-nourrissante-anti-age-50ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2022/07/dermedic-oilage-creme-de-jour-nourrissante-anti-age-50ml-2-400x400.jpg,TND,91.310 TND,Ajouter au panier,Dermedic Oilage Creme de Jour Nourrissante Anti-Age 50ml,soins anti-âge et anti-rides
1758459784-28,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-hydrain-3-creme-hydratante-en-profondeur-spf15-50ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-hydrain-3-creme-hydratante-en-profondeur-spf15-50ml-3-400x400.jpg,TND,65.840 TND,Lire la suite,Dermedic Hydrain 3 Creme Hydratante en Profondeur SPF15 50ml,hydratants toutes peaux
1758459780-2,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-gel-creme-ultr-hydrat-50g-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-gel-creme-ultr-hydrat-50g-2-400x400.jpg,TND,44.982 TND,Ajouter au panier,Dermedic Hydrain 3 Gel Creme Ultra-Hydratant 50g,Soins hydratants et nourrissants
1758459780-13,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2024/07/dermedic-sunbrella-ecran-spf50-peaux-normales-a-seches-40ml-2eme-offert-400x400.jpg,,TND,53.980 TND,Ajouter au panier,Dermedic Sunbrella Ecran SPF50+ Peaux Normales à Seches 40ml (2eme Offert),Protection supérieure à SPF 50+
1758459780-17,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2023/04/dermedic-normacne-creme-nuit-anti-imperfections-40ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2023/04/dermedic-normacne-creme-nuit-anti-imperfections-40ml-2-400x400.jpg,TND,53.970 TND,Ajouter au panier,Dermedic Normacne Creme Nuit Anti-Imperfections 40ml,Peaux à imperfections
1758459784-37,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-normalisant-pour-cheveux-fin-300ml-400x400.jpg,,TND,28.150 TND,Lire la suite,DERMEDIC Capilarte Shampooing Normalisant Pour Cheveux Fin 300ml,Shampoing
1758459784-31,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-enzyme-peeling-50g-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-enzyme-peeling-50g6e-400x400.jpg,TND,55.007 TND,Lire la suite,Dermedic Hydrain 3 Enzyme Peeling 50g,Hydratants peaux sèches
1758459780-8,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/11/dermedic-hydrain3-gel-nettoyant-200ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/11/dermedic-hydrain3-gel-nettoyant-200ml-3-400x400.jpg,TND,42.916 TND,Ajouter au panier,Dermedic Hydrain 3 Gel Nettoyant 200ml,"Gel, crème, huile"
1758459780-2,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-gel-creme-ultr-hydrat-50g-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-gel-creme-ultr-hydrat-50g-2-400x400.jpg,TND,44.982 TND,Ajouter au panier,Dermedic Hydrain 3 Gel Creme Ultra-Hydratant 50g,Soins hydratants et nourrissants
1758459787-49,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-sunbrella-lotion-rafraichissant-apres-soleil-200ml-400x400.jpg,,TND,49.580 TND,Lire la suite,Dermedic Sunbrella Lotion Rafraîchissant Après-Soleil 200ml,Soins Après-Soleil
